"API","country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.5-2-AFG-TBPD.A","Afghanistan","6.529397260273979","8.322821917808216","9.100410958904114","20.81557377049185","36.25320547945199","42.76090410958903","55.81753424657529","49.05868852459019","35.082679452054734","27.677745205479425","34.723164","26.868912","36.099873","",""
"INTL.5-2-ALB-TBPD.A","Albania","30.58374356164382","28.52933589041099","27.83662904109589","27.38395300546445","26.72517041095888","25.951811506849342","25.735346849315118","22.637728961748625","27.171761095890403","28.13148164383562","26.061698","27.170328","29.152082","",""
"INTL.5-2-DZA-TBPD.A","Algeria","264.0822509589043","267.67475835616386","275.9514191780822","313.81660983606605","349.16215945205516","347.4138156493151","349.5789589041096","373.793301369863","400.3377534246575","415.6059726027397","431.2676164383562","420.72377","422","",""
"INTL.5-2-ASM-TBPD.A","American Samoa","4.065698630136983","4.14","4.14","4.14","4.14","4.14","2.34564584991815","2.34564610715881","2.34564584991815","2.34564584991815","2.345645","2.345646","2.345646","",""
"INTL.5-2-AGO-TBPD.A","Angola","42.130644383561595","56.78680767123286","67.46339178082196","82.75661967213112","98.66940821917811","106.95469289863014","111.97478115068493","119.80948045901637","138.73805537534247","156.76910444931508","156.3494128328767","147.036994","126","",""
"INTL.5-2-ATA-TBPD.A","Antarctica","1.55331506849315","1.55331506849315","1.57375342465753","0.06733115717256075","0.08674084657534246","0.08674084657534246","0.08674084657534246","0.08674030491803279","0.08674084657534246","0.08674084657534246","0.086739","0.086738","0.086738","",""
"INTL.5-2-ATG-TBPD.A","Antigua and Barbuda","4.173095890410958","4.309123287671231","4.503671232876711","4.594890710382509","4.823364383561641","4.656383561643831","4.644186301369865","4.758934426229507","4.771972602739721","4.879287671232871","4.974929","5.052921","5.086268","",""
"INTL.5-2-ARG-TBPD.A","Argentina","561.6110871232873","619.310108493151","627.3488832876708","684.7698721311481","658.006569863013","718.4010284931503","711.1012063013698","757.4252612021863","763.8709402739728","763.6902783561645","793.612832980822","776.904164","751.860712","",""
"INTL.5-2-ARM-TBPD.A","Armenia","8.97408219178082","8.414602739726021","9.086575342465759","9.671639344262294","8.489397260273975","9.033068493150688","8.519095890410952","8.722082191780817","7.809315068493151","7.779917808219179","8.222465","6.843248","8.190684","",""
"INTL.5-2-ABW-TBPD.A","Aruba","9.353326027397253","9.337304109589041","9.627364383561643","9.050728142076505","8.93342794520547","8.051014520547948","6.358597260273968","7.898724043715844","7.601567123287669","7.69860356164383","7.910535","7.790639","7.8403","",""
"INTL.5-2-AUS-TBPD.A","Australia","960.520549","970.216439","987.723286","994.333333","998.526027","1042.649313","1095.416438","1124.286885","1137.60822","1125.747944","1120.59726","1114.63388","1166.673972","1180.775343","1173.501369"
"INTL.5-2-AUT-TBPD.A","Austria","297.48493","301.112328","292.019177","283.969945","271.550687","278.460274","263.391781","258.734973","263.304111","256.597261","258.432877","262.382513","263.356164","268.643836","274.750595"
"INTL.5-2-AZE-TBPD.A","Azerbaijan","109.77387068493154","101.67831780821908","90.80059397260274","92.27110710382519","78.78336547945197","82.62718904109599","92.36111123287674","96.91322958904114","100.1594597260274","99.62932712328777","98.1253928136986","96.304164","97.065178","",""
"INTL.5-2-BHR-TBPD.A","Bahrain","56.26178082191775","61.37131506849311","60.63101369863023","62.58806010928956","58.27504109589041","56.27693150684921","55.98621917808216","57.96355191256834","61","58","64","61.426568","64.43418","63.023961",""
"INTL.5-2-BGD-TBPD.A","Bangladesh","78.32198136986302","78.69343232876709","75.87974465753427","75.30799016393436","69.48387616438359","80.9742410958904","103.65355616438347","107.39035737704914","104.3410969863014","111.21543671232877","112","112","128","",""
"INTL.5-2-BRB-TBPD.A","Barbados","11.277248372602743","11.292675934246574","10.878951232876718","12.802740983606563","12.06724273972603","11.652834246575337","12.173486027397262","11.3394155737705","11.487674246575343","10.052257295890408","10.629836","10.774034","10.843574","",""
"INTL.5-2-BLR-TBPD.A","Belarus","151.44364602739728","173.9336668493151","162.85384328767128","166.57258251366116","184.69610191780828","151.91933917808217","175.84887890410957","178.51852459016388","160.8490049315068","168.26945863013688","139.042356","137.065178","136.043452","",""
"INTL.5-2-BEL-TBPD.A","Belgium","659.775343","646.931507","650.041096","694.655738","622.057533","652.720548","610.936986","595.568306","614.747945","606.684932","622.578083","631.524589","637.534246","683.490412","664.780822"
"INTL.5-2-BLZ-TBPD.A","Belize","3.6045147123287706","3.7848845808219234","3.48490096986301","3.182089532786882","3.512713353424656","3.826491588054797","3.2247207800547892","3.369498322841529","3.72949913424658","3.514323040602745","4.19759","4.153829","4.180826","",""
"INTL.5-2-BEN-TBPD.A","Benin","16.472739726027395","22.822794520547966","26.99780821917806","27.493387978142117","30.285561643835614","34.703150684931515","32.200575342465775","30.396612021857948","31.130739726027457","32.78758904109583","36.210244","46.830135","45.299122","",""
"INTL.5-2-BMU-TBPD.A","Bermuda","4.509106849315066","5.096361643835613","5.824997260273975","5.553366120218576","4.429350739726026","5.165153262465745","3.351729455342466","3.7333006612021795","3.63838010958904","4.743138749589049","3.939183328219177","5","5.436998","",""
"INTL.5-2-BTN-TBPD.A","Bhutan","1.5135860273972601","1.5720287671232875","1.6349263013698623","1.5880166666666664","1.7739041095890387","2.2368739726027416","2.625773698630137","2.963227049180325","3.121096164383556","2.935865041095891","3.541063","3.595719","2.79567","",""
"INTL.5-2-BOL-TBPD.A","Bolivia","47.09427506849318","50.54314082191775","55.41041095890416","49.52778032786885","48.93641534246576","53.42050849315067","64.30844383561649","69.6677650273225","67.51207999999994","72.7185358904109","84.145044","91.21493","102.32589","",""
"INTL.5-2-BIH-TBPD.A","Bosnia and Herzegovina","23.10953424657532","25.43583561643835","27.12671232876715","30.932719125683082","34.45423780821913","34.70415123287671","35.42825534246574","31.938290710382503","29.915815890411","30.48979945205476","31.130356","36.21726","34.21726","",""
"INTL.5-2-BWA-TBPD.A","Botswana","14.686520547945204","15.845068493150675","17.126904109589038","19.007841530054634","17.64561643835616","18.524876712328766","19.149698630136992","19.530819672131148","20.51501369863012","21.287863013698637","23.455148","22.3612","22","",""
"INTL.5-2-BRA-TBPD.A","Brazil","2240.895279452054","2275.6796821917806","2429.078317808219","2590.4230683060114","2597.4625316164393","2817.6665439178078","2893.719367739726","3000.8705790819677","3143.5209545753423","3279.2654243013662","3238.891558","3027.41007","3028.927121","3060.520713",""
"INTL.5-2-VGB-TBPD.A","British Virgin Islands","0.9043999999999996","0.9857369863013705","1.0219479452054796","1.0937786885245895","1.148679452054794","1.1789068493150694","1.2069424657534242","1.199568306010929","1.2028547945205483","1.2228630136986296","1.2269506849315066","1.24","1.54752","",""
"INTL.5-2-BRN-TBPD.A","Brunei","13.864603835616434","14.664031780821905","15.107911232876702","16.742280874316936","16.547775342465762","17.173956164383558","18.18951123287671","17.47287213114753","17.26280328767123","16.49357260273972","19.127068","17.598418","16","",""
"INTL.5-2-BGR-TBPD.A","Bulgaria","109.70246027397258","110.90771068493154","106.51725150684945","104.9871945355192","100.84418410958907","89.06142684931507","84.04729095890427","86.29907213114748","80.91854027397271","88.99674410958896","95","97","98","",""
"INTL.5-2-BFA-TBPD.A","Burkina Faso","8.091972602739723","7.965150684931504","11.47930531506849","12.500347540983611","11.661326328767123","12.562207561643838","14.483612000000003","17.1713838251366","20.80408454794524","19.389101369863013","24.989254","20.511459","22.513765","",""
"INTL.5-2-MMR-TBPD.A","Myanmar","36.24701589041091","36.86566246575339","36.24931726027401","28.538410928961753","23.71431123287675","27.255809315068465","25.29113315068495","45.121046994535476","60.41579178082188","93.69763945205476","72.233809","91.669789","127.026424","",""
"INTL.5-2-BDI-TBPD.A","Burundi","1.2321215835616437","1.5333076712328768","2.556553424657534","1.4846434153005466","1.460013315068493","1.63192098630137","1.9331113698630125","1.7362884153005462","2.0230647397260277","1.6453994520547948","2.646008","3.207282","1.605776","",""
