"API","country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.53-1-AFG-TBPD.A","Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ALB-TBPD.A","Albania","6.985","7.814465753424657","6.501178082191781","6.036","5.390767123287671","10.870835616438356","15.573068493150686","16.847065573770493","17.016219178082192","20.586849315068495","20.230643835616437","22.81763387978142","16.069","15.655301369863015","14.564890410958904"
"INTL.53-1-DZA-TBPD.A","Algeria","1956.7780684931506","1967.493493150685","1967.5452602739726","1954.459","1909.8147123287672","1881.051","1862.69","1875.227169398907","1763.0818219178082","1722.342","1798.425","1698.785655737705","1641.7428082191782","1577.0825342465753","1570.3839041095891"
"INTL.53-1-ASM-TBPD.A","American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-AGO-TBPD.A","Angola","1249.228808219178","1419.9168630136987","1747.5048301369864","1960.2065081967214","1886.295219178082","1917.9925479452054","1765.0274383561643","1796.4701803278688","1814.0265342465752","1755.7554383561644","1827.92201369863","1796.7427540983606","1706.4348493150685","1655.169095890411","1511.6348493150685"
"INTL.53-1-ATA-TBPD.A","Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ATG-TBPD.A","Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ARG-TBPD.A","Argentina","797.0857534246576","802.2849095890411","781.2251698630137","801.0422267759562","801.6574657534246","788.873690410959","763.1044821917808","722.6970355191257","706.1269616438357","716.3514054794521","708.6832465753424","708.7701475409837","676.2280410958904","678.5595479452055","690.0581780821918"
"INTL.53-1-ARM-TBPD.A","Armenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-ABW-TBPD.A","Aruba","2.351","2.235","2.477","2.465","2.811","2.813","2.822","0.68","0","0","0","0","0","0","0"
"INTL.53-1-AUS-TBPD.A","Australia","580.7939315068493","561.7725616438356","567.3559178082191","570.912612021858","580.7465342465754","590.225205479452","514.6589315068493","507.0888142076503","432.76483561643835","448.1563424657534","402.3468219178082","373.72837158469946","341.7618904109589","373.64812328767124","487.97141095890413"
"INTL.53-1-AUT-TBPD.A","Austria","24.920438356164382","26.617424657534247","27.68280821917808","27.92590163934426","28.192","36.27591780821918","36.97253424657534","37.009535519125684","27.97990410958904","31.90386301369863","33.0138904109589","29.41520218579235","29.245534246575343","28.223616438356164","27.642794520547945"
"INTL.53-1-AZE-TBPD.A","Azerbaijan","440.00560273972604","646.5805479452055","849.0690465753424","878.1927240437159","1015.9452630136986","1044.8443698630138","993.2605205479452","931.7560027322404","880.8249698630137","856.8758986301369","858.1772","843.5462513661203","800.6819726027397","808.4819726027397","778.8682739726028"
"INTL.53-1-BHR-TBPD.A","Bahrain","47.525","48.853","48.435","48.598","48.685","47.489","47.487","55.165","60.993","64.1811095890411","65.886","63.886","58.886","56.886","56.886"
"INTL.53-1-BGD-TBPD.A","Bangladesh","6.76","6.733","6.724","6.408666666666667","5.684","5.072","5.063","4.8486666666666665","4.156","4.127","4.105","4.105","3.770753424657534","3.105","3.105"
"INTL.53-1-BRB-TBPD.A","Barbados","1","1.0334246575342465","1.1084931506849316","1.101","0.766","1","1","1","1","1","1","1","1","1","1"
"INTL.53-1-BLR-TBPD.A","Belarus","35.155","35.602","36.011","35.296","32.063","32.113","30.739","30.124","31.307","33.193","26.001931506849314","32.583666666666666","31.917","32.917","33.829328767123286"
"INTL.53-1-BEL-TBPD.A","Belgium","8.691","11.914","11.224","11.218","12.603","23.04","21.982","22.474","23.892","28.595","25.458","24.423","28.785","28.785","28.785"
"INTL.53-1-BLZ-TBPD.A","Belize","0","2.2573095890410957","2.9997972602739726","3.5106639344262294","3.9895013698630137","4.251682191780822","4","3.239344262295082","3","1.8177616438356163","2","2","2","2","2"
"INTL.53-1-BEN-TBPD.A","Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
