"country",output
"Algeria",1011
"Angola",1414
"Argentina",517.2903
"Australia",334.4766
"Austria",12.0413
"Azerbaijan",669.4813
"Belarus",33.2252
"Brazil",3172.2258
"Brunei Darussalam",109.9982
"Canada",3805.8632
"China",3873.4606
"Croatia",12.4431
"Denmark",83.30970000000001
"Ecuador",0
"Egypt (Arab Rep.)",612.4161
"France",14.4235
"Gabon",220
"Germany",37.3935
"Guatemala",8.645200000000001
"India",647.28
"Indonesia",727.7240000000001
"Iran (Islamic Rep.)",0
"Iraq",4470
"Italy",75.5706
"Kazakhstan",1629.4832
"Kuwait",2660
"Malaysia",624.6710000000001
"Mexico",1760.1794
"Netherlands",14.6374
"New Zealand",20.7184
"Nigeria",1739
"Norway",1688.8742
"Peru",0
"Philippines",1.7898
"Poland",20.8077
"Qatar",0
"Romania",68.99760000000001
"Russia",10603.1076
"Saudi Arabia",9748
"Thailand",220.9914
"Trinidad/Tobago",0
"Tunisia",0
"Turkey",58.0542
"Ukraine",34.2348
"United Arab Emirates",0
"United Kingdom",1056.9368
"United States of America",12744.4194
"Venezuela",882
